Date,Time,RTT
20240413,18:12:52,49.9
20240413,18:12:52,56.8
20240413,18:12:53,52.2
20240412,21:41:09,54.3
20240412,21:41:10,60.7
20240412,21:41:10,58.4
20240412,21:41:11,54.5
20240412,21:41:11,49.9
20240412,21:41:12,49.9
20240412,21:41:12,68.5
20240412,21:41:13,58.0
20240412,21:41:13,56.3
20240412,21:41:14,45.4
20240412,21:41:14,92.8
20240412,21:41:15,53.3
20240412,21:41:15,52.8
20240412,21:41:16,60.5
20240412,21:41:16,68.7
20240412,21:41:17,98.2
20240412,21:41:17,44.6
20240412,21:41:18,49.8
20240412,21:41:18,56.6
20240412,21:41:19,54.6
20240413,18:16:52,47.2
20240413,18:16:53,44.6
20240413,18:16:53,52.9
20240413,18:16:54,58.0
20240413,18:16:54,69.3
20240413,18:16:55,63.5
20240413,18:16:55,54.5
20240413,18:16:56,56.4
20240413,18:16:56,85.2
20240413,18:16:57,61.2
20240413,18:16:57,48.3
20240413,18:16:58,370.0
20240413,18:16:58,35.8
20240413,18:16:59,56.9
20240413,18:16:59,66.6
20240413,18:17:00,54.5
20240413,18:17:00,43.2
20240413,18:17:01,54.9
20240413,18:17:01,31.1
20240413,18:17:02,86.0
20240413,18:59:42,140.0
20240413,18:59:43,99.1
20240413,18:59:43,153.0
20240413,18:59:44,51.5
20240413,18:59:44,73.8
20240413,18:59:45,54.5
20240413,18:59:45,42.9
20240413,18:59:46,40.6
20240413,18:59:46,49.2
20240413,18:59:47,55.7
20240413,18:59:47,44.2
20240413,18:59:48,42.0
20240413,18:59:48,48.2
20240413,18:59:49,46.6
20240413,18:59:49,46.2
20240413,18:59:50,43.2
20240413,18:59:50,41.6
20240413,18:59:51,40.9
20240413,18:59:51,40.9
20240413,18:59:52,39.4
20240412,22:08:42,59.7
20240412,22:08:43,68.2
20240412,22:08:43,66.5
20240412,22:08:44,75.7
20240412,22:08:44,44.9
20240412,22:08:45,55.0
20240412,22:08:45,52.3
20240412,22:08:46,50.8
20240412,22:08:46,69.5
20240412,22:08:47,58.3
20240412,22:08:47,66.7
20240412,22:08:48,59.6
20240412,22:08:48,78.4
20240412,22:08:49,71.2
20240412,22:08:49,58.7
20240412,22:08:50,87.5
20240412,22:08:50,67.5
20240412,22:08:51,65.7
20240412,22:08:51,62.8
20240412,22:08:52,61.8
20240413,17:51:53,51.4
20240413,17:51:54,51.7
20240413,17:51:54,60.6
20240413,17:51:55,74.2
20240413,17:51:55,60.3
20240413,17:51:56,76.1
20240413,17:51:56,59.6
20240413,17:51:57,61.1
20240413,17:51:57,47.4
20240413,17:51:58,64.5
20240413,17:51:58,55.2
20240413,17:51:59,54.0
20240413,17:51:59,51.3
20240413,17:52:00,52.5
20240413,17:52:00,66.2
20240413,17:52:01,55.6
20240413,17:52:01,44.9
20240413,17:52:02,54.2
20240413,17:52:02,67.3
20240413,17:52:03,62.9
20240413,19:42:27,37.5
20240413,19:42:28,117.0
20240413,19:42:28,35.8
20240413,19:42:29,65.8
20240413,19:42:29,51.4
20240413,19:42:30,42.0
20240413,19:42:30,166.0
20240413,19:42:31,138.0
20240413,19:42:31,112.0
20240413,19:42:32,99.2
20240413,19:42:32,75.0
20240413,19:42:33,51.0
20240413,19:42:33,183.0
20240413,19:42:34,160.0
20240413,19:42:34,139.0
20240413,19:42:35,117.0
20240413,19:42:35,96.9
20240413,19:42:36,75.0
20240413,19:42:36,56.0
20240413,19:42:37,190.0
20240412,22:13:11,59.7
20240412,22:13:12,51.7
20240412,22:13:12,50.3
20240412,22:13:13,52.8
20240412,22:13:13,54.8
20240412,22:13:14,55.0
20240412,22:13:14,52.3
20240412,22:13:15,50.5
20240412,22:13:15,58.1
20240412,22:13:16,55.2
20240412,22:13:16,59.0
20240412,22:13:17,56.4
20240412,22:13:17,54.9
20240412,22:13:18,53.6
20240412,22:13:18,51.9
20240412,22:13:19,51.7
20240412,22:13:19,55.1
20240412,22:13:20,63.7
20240412,22:13:20,59.6
20240412,22:13:21,76.2
20240413,19:30:00,49.6
20240413,19:30:01,57.5
20240413,19:30:01,62.7
20240413,19:30:02,42.7
20240413,19:30:02,48.4
20240413,19:30:03,53.9
20240413,19:30:03,43.1
20240413,19:30:04,57.0
20240413,19:30:04,41.4
20240413,19:30:05,51.0
20240413,19:30:05,39.4
20240413,19:30:06,47.2
20240413,19:30:06,40.5
20240413,19:30:07,45.5
20240413,19:30:07,40.0
20240413,19:30:08,52.5
20240413,19:30:08,47.3
20240413,19:30:09,46.1
20240413,19:30:09,53.5
20240413,19:30:10,42.6
20240412,19:50:17,31.6
20240412,19:50:18,29.7
20240412,19:50:18,28.3
20240412,19:50:19,28.4
20240412,19:50:19,26.0
20240412,19:50:20,35.3
20240412,19:50:20,41.2
20240412,19:50:21,32.5
20240412,19:50:21,30.9
20240412,19:50:22,29.2
20240412,19:50:22,28.6
20240412,19:50:23,29.1
20240412,19:50:23,27.1
20240412,19:50:24,37.9
20240412,19:50:24,35.7
20240412,19:50:25,56.9
20240412,19:50:25,41.8
20240412,19:50:26,34.0
20240412,19:50:26,47.3
20240412,19:50:27,37.0
20240413,19:08:14,63.7
20240413,19:08:15,45.8
20240413,19:08:15,54.9
20240413,19:08:16,64.4
20240413,19:08:16,61.2
20240413,19:08:17,50.6
20240413,19:08:17,61.5
20240413,19:08:18,49.3
20240413,19:08:18,55.6
20240413,19:08:19,56.8
20240413,19:08:19,64.4
20240413,19:08:20,55.7
20240413,19:08:20,61.2
20240413,19:08:21,53.9
20240413,19:08:21,56.3
20240413,19:08:22,54.9
20240413,19:08:22,71.9
20240413,19:08:23,61.7
20240413,19:08:23,61.3
20240413,19:08:24,67.3
20240413,18:08:33,33.4
20240413,18:08:34,54.1
20240413,18:08:34,41.9
20240413,18:08:35,43.0
20240413,18:08:35,48.4
20240413,18:08:36,36.5
20240413,18:08:36,36.8
20240413,18:08:37,60.1
20240413,18:08:37,40.7
20240413,18:08:38,43.5
20240413,18:08:38,39.3
20240413,18:08:39,47.1
20240413,18:08:39,52.4
20240413,18:08:40,69.4
20240413,18:08:40,44.1
20240413,18:08:41,41.4
20240413,18:08:41,32.2
20240413,18:08:42,64.9
20240413,18:08:42,37.4
20240413,18:08:43,46.6
20240413,17:03:04,75.7
20240413,17:03:05,58.6
20240413,17:03:05,56.9
20240413,17:03:06,56.2
20240413,17:03:06,53.1
20240413,17:03:07,49.5
20240413,17:03:07,54.7
20240413,17:03:08,34.8
20240413,17:03:08,46.0
20240413,17:03:09,55.7
20240413,17:03:09,31.6
20240413,17:03:10,50.7
20240413,17:03:10,37.1
20240413,17:03:11,37.2
20240413,17:03:11,56.5
20240413,17:03:12,44.8
20240413,17:03:12,42.0
20240413,17:03:13,40.7
20240413,17:03:13,41.0
20240413,17:03:14,38.5
20240413,18:33:42,65.2
20240413,18:33:43,66.0
20240413,18:33:43,67.5
20240413,18:33:44,64.1
20240413,18:33:44,71.3
20240413,18:33:45,60.9
20240413,18:33:45,73.2
20240413,18:33:46,60.9
20240413,18:33:46,65.0
20240413,18:33:47,81.5
20240413,18:33:47,71.4
20240413,18:33:48,63.0
20240413,18:33:48,71.7
20240413,18:33:49,265.0
20240413,18:33:49,65.6
20240413,18:33:50,56.0
20240413,18:33:50,63.1
20240413,18:33:51,62.2
20240413,18:33:51,71.0
20240413,18:33:52,56.8
20240412,18:59:23,31.9
20240412,18:59:24,40.1
20240412,18:59:24,36.1
20240412,18:59:25,36.5
20240412,18:59:25,28.1
20240412,18:59:26,31.7
20240412,18:59:26,31.8
20240412,18:59:27,18.6
20240412,18:59:27,33.5
20240412,18:59:28,35.7
20240412,18:59:28,29.7
20240412,18:59:29,29.4
20240412,18:59:29,32.2
20240412,18:59:30,30.4
20240412,18:59:30,31.2
20240412,18:59:31,34.5
20240412,18:59:31,31.6
20240412,18:59:32,35.5
20240412,18:59:32,29.5
20240412,18:59:33,34.7
20240412,19:08:08,36.4
20240412,19:08:09,43.6
20240412,19:08:09,58.9
20240412,19:08:10,50.7
20240412,19:08:10,48.4
20240412,19:08:11,56.2
